LSOA21CD,Local Authority name,dpi normalized,Pct of population speaks no or little English normalized,Pct unemployed or econ inactive normalized,Pct household deprivation normalized,score,LSOA21 Name,pcds
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DY
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3DZ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EA
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EF
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EH
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EN
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EP
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3ER
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3ES
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3ET
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EU
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EW
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EY
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3EZ
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3GA
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HA
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HB
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HD
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HE
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HF
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HG
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HH
E01013136,North East Lincolnshire,6.07,1.39,7.8,9.45,24.71,North East Lincolnshire 002A,DN31 3HJ
